HASH,PRODUCTS,COUNT
123,"('PRD0901348', 'PRD0903678')",21
274,"('PRD0902540', 'PRD0904976')",21
516,"('PRD0901265', 'PRD0904723')",21
297,"('PRD0903052', 'PRD0902671')",21
195,"('PRD0901348', 'PRD0903052')",22
342,"('PRD0903052', 'PRD0901672')",23
549,"('PRD0903678', 'PRD0900531')",24
240,"('PRD0900173', 'PRD0900121')",24
442,"('PRD0901265', 'PRD0902929')",24
409,"('PRD0901060', 'PRD0903846')",24
203,"('PRD0904358', 'PRD0904976')",25
245,"('PRD0903678', 'PRD0904976')",26
362,"('PRD0903052', 'PRD0903399')",26
457,"('PRD0903052', 'PRD0904887')",26
157,"('PRD0900830', 'PRD0901265')",27
214,"('PRD0900830', 'PRD0904976')",27
563,"('PRD0903052', 'PRD0901878')",27
188,"('PRD0900830', 'PRD0900121')",28
735,"('PRD0903052', 'PRD0901383')",28
274,"('PRD0903678', 'PRD0903074')",29
491,"('PRD0903678', 'PRD0901878')",31
385,"('PRD0903678', 'PRD0904887')",32
378,"('PRD0903678', 'PRD0902929')",32
346,"('PRD0903052', 'PRD0903074')",33
225,"('PRD0902540', 'PRD0903052')",34
232,"('PRD0904358', 'PRD0903074')",34
283,"('PRD0901265', 'PRD0900121')",35
687,"('PRD0903052', 'PRD0901278')",37
51,"('PRD0904358', 'PRD0900830')",40
146,"('PRD0904358', 'PRD0901265')",40
450,"('PRD0903052', 'PRD0902929')",42
452,"('PRD0903678', 'PRD0904723')",42
524,"('PRD0903052', 'PRD0904723')",42
621,"('PRD0903052', 'PRD0900531')",43
93,"('PRD0900830', 'PRD0903678')",45
145,"('PRD0903678', 'PRD0900173')",45
317,"('PRD0903052', 'PRD0904976')",45
217,"('PRD0900173', 'PRD0903052')",46
165,"('PRD0900830', 'PRD0903052')",52
188,"('PRD0903678', 'PRD0901265')",57
219,"('PRD0903678', 'PRD0900121')",72
82,"('PRD0904358', 'PRD0903678')",81
291,"('PRD0903052', 'PRD0900121')",85
260,"('PRD0901265', 'PRD0903052')",93
154,"('PRD0904358', 'PRD0903052')",103
196,"('PRD0903678', 'PRD0903052')",137
